2022-10-20 19:10:23,279 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:25,348 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:27,229 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:10:28,783 INFO  ExportPropertyManager.cs: 1136 - OnNumberBoxTrackingCompleted called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:15:22,476 INFO  ExportPropertyManager.cs: 422 - Configuration saved
2022-10-20 19:15:23,155 INFO  ExportPropertyManager.cs: 1142 - AfterClose called. This method no longer throws an Exception. It just silently does nothing. Ok, except for this logging message
2022-10-20 19:15:36,977 INFO  SwAddin.cs: 294 - Assembly export called for file Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:38,589 INFO  SwAddin.cs: 313 - Saving assembly
2022-10-20 19:15:40,146 INFO  SwAddin.cs: 316 - Opening property manager
2022-10-20 19:15:40,146 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,147 INFO  ExportHelperExtension.cs: 1136 - Found 59 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,148 INFO  ExportHelperExtension.cs: 1145 - Found 13 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,149 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 19:15:40,149 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 19:15:40,150 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:40,150 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:40,151 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:40,151 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,152 INFO  ExportHelperExtension.cs: 1136 - Found 59 in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,152 INFO  ExportHelperExtension.cs: 1145 - Found 10 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1
2022-10-20 19:15:40,152 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2022-10-20 19:15:40,153 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2022-10-20 19:15:40,153 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:40,153 INFO  ExportHelperExtension.cs: 1136 - Found 47 in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:40,153 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in Gripper_without_Gimbal_for_SolidWorks_ver1_1.stp-1
2022-10-20 19:15:41,740 INFO  SwAddin.cs: 339 - Loading config tree
2022-10-20 19:15:41,743 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
